comparison,n_subjects,n_unfavourable,n_cured,median_unfavourable,median_cured,rank_biserial_r,p_value,roc_auc_low_alignment,roc_auc_delta_model,genes_in_reference
Diagnosis to Day 7,87,6,81,0.7978626365215782,0.7089427324432116,0.25514403292181065,0.3112475242379185,0.3724279835390947,0.06790123456790126,2000
Diagnosis to Week 4,85,7,78,0.8532055294938313,0.7939944440112261,0.38827838827838823,0.09212241111218165,0.30586080586080583,0.5384615384615385,2000
Diagnosis to Week 24,86,6,80,0.8016091131413592,0.885676577453675,-0.36250000000000004,0.1457231865646747,0.68125,0.6145833333333334,2000
