arm,arm_label,gene_set,term,overlap,p_value,adjusted_p,genes
week_24,Week 24,MSigDB_Hallmark_2020,tRNA Modification In Nucleus And Cytosol R-HSA-6782315,9/42,0.00018875240963277975,0.021243225738671,NSUN2;TRMT5;TYW1;ADAT1;CDKAL1;THADA;PUS7;FTSJ1;TRIT1
week_24,Week 24,MSigDB_Hallmark_2020,Immune System R-HSA-168256,131/1943,0.00022279998190881503,0.0214356067470392,IFITM3;IFITM1;IFITM2;NUP188;IRS1;NCF4;UBE2L6;UBE3A;CBLB;IFI35;FBXO21;IFI30;IL27RA;PYCARD;CDC23;HERC1;PPP2R1B;RPS6KA2;FBXO6;PGLYRP1;BTRC;KIFAP3;TRIM21;GYG1;GBP6;GBP5;ANAPC7;CD300A;HLA-B;MCEMP1;FBXO10;ATG14;HLA-E;MTAP;TYROBP;PSME4;PSME1;SERPING1;RBCK1;ALPK1;AURKAIP1;S100A9;ARL8A;ANAPC1;BLK;CD274;DHX9;MAPKAP1;FPR1;PIK3R4;ITPR1;GATA3;RASGRP1;FOXO1;NUP160;SOCS3;RNF216;KIF3B;NUP85;MLEC;PI3;MAP2K7;S100A11;SEC31A;SPTBN2;STAT5A;GSDMD;HSPA9;SMAD3;NUP155;HSPA6;NFATC2;PILRA;CDC16;RNF182;UBE2O;FGF13;IL7R;EIF4G2;LGMN;DET1;HSP90AB1;SERPINA1;IL24;IL27;TNFRSF13C;ALAD;TRIM4;CASP4;CHAMP1;BLNK;CASP1;CCR6;JAK3;SPTAN1;CD53;DUSP3;FCER1G;VAV1;TNFRSF1A;VAV2;TLR1;CD200R1;AIM2;NPC2;IRF1;TLR5;C1QB;CD63;C1QA;USP14;AGPAT2;PSMB10;CAND1;CXCR1;RAB24;S1PR1;GBP2;FCGR1A;GBP1;RANBP2;MAPK14;PTPN13;PSMB8;PML;PSMB9;LRG1;POLR3A;POLR3B;P2RX1;LTBR
week_24,Week 24,MSigDB_Hallmark_2020,tRNA Processing R-HSA-72306,15/105,0.00022509118555049304,0.0214356067470392,RANBP2;NUP188;NUP155;NSUN2;ADAT1;CDKAL1;THADA;PUS7;FTSJ1;NUP160;TRIT1;XPOT;NUP85;TRMT5;TYW1
week_24,Week 24,MSigDB_Hallmark_2020,Chromatin Modifying Enzymes R-HSA-3247509,25/238,0.0003828663049066128,0.0338563203910276,SMARCD3;KDM1A;TRRAP;JADE3;TAF5L;PHF8;ING5;EP400;SMYD2;EPC1;SMYD3;SMARCE1;BRD1;SMARCC2;KDM4C;KDM2B;SETD1B;SETD1A;SMARCA2;ARID1B;NCOR1;YEATS2;KAT6B;MORF4L2;TADA1
week_24,Week 24,MSigDB_Hallmark_2020,Organelle Biogenesis And Maintenance R-HSA-1852241,27/275,0.0006625255308037485,0.0539713816710581,UNC119B;SMARCD3;TRAF3IP1;PCM1;KIF3B;TCTN3;TCTN2;TCTN1;CEP72;BBS9;KIFAP3;MEF2D;HSPA9;ODF2;SIRT5;IFT122;RPGRIP1L;PPRC1;MAPK14;CKAP5;LZTFL1;IFT88;TTC8;NCOR1;ALMS1;EXOC4;EXOC2
week_24,Week 24,MSigDB_Hallmark_2020,rRNA Modification In Nucleus And Cytosol R-HSA-6790901,10/60,0.0007209870075469213,0.0539713816710581,NOP14;UTP6;PDCD11;DKC1;WDR3;BMS1;HEATR1;UTP20;NOL11;WDR43
week_24,Week 24,MSigDB_Hallmark_2020,Extension Of Telomeres R-HSA-180786,9/50,0.0007411255964523328,0.0539713816710581,ANKRD28;POLA1;BLM;WRN;SHQ1;DKC1;POLR1B;LRIG1;TERF2IP
week_24,Week 24,MSigDB_Hallmark_2020,DNA Repair R-HSA-73894,29/310,0.0009266997017956024,0.0637363461568308,FTO;MDC1;BLM;UBE2L6;XPC;ALKBH5;WRN;REV3L;LRIG1;PMS2;TP53BP1;AQR;USP7;PARP1;ACTR5;INO80;BAZ1B;GTF2H3;PALB2;FANCF;CUL4A;NEIL2;TDP1;POLR1B;POLE3;TERF2IP;ERCC6;COPS8;RAD18
week_24,Week 24,MSigDB_Hallmark_2020,Cilium Assembly R-HSA-5617833,20/186,0.0010569458261203,0.0688683648808941,UNC119B;TRAF3IP1;ODF2;IFT122;RPGRIP1L;CKAP5;LZTFL1;IFT88;PCM1;TTC8;KIF3B;TCTN3;TCTN2;TCTN1;ALMS1;EXOC4;CEP72;BBS9;KIFAP3;EXOC2
week_24,Week 24,MSigDB_Hallmark_2020,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,33/378,0.0013954637775741,0.0863792078318409,DET1;NCF4;PIK3R4;CBLB;UBE2L6;UBE3A;FBXO21;PSMB10;SOCS3;CDC23;HERC1;TRIM4;FBXO6;BTRC;FCGR1A;TRIM21;SEC31A;ANAPC7;HLA-B;ATG14;FBXO10;PSMB8;HLA-E;PSMB9;TLR1;PSME4;CDC16;PSME1;RNF182;UBE2O;RBCK1;S100A9;ANAPC1
