class,ensembl,gene_symbol
stable_across_states,ENSG00000103353,UBFD1
stable_across_states,ENSG00000104884,ERCC2
stable_across_states,ENSG00000104998,IL27RA
stable_across_states,ENSG00000105875,WDR91
stable_across_states,ENSG00000106263,EIF3B
stable_across_states,ENSG00000107554,DNMBP
stable_across_states,ENSG00000107959,PITRM1
stable_across_states,ENSG00000108294,ENSG00000108294
stable_across_states,ENSG00000108405,P2RX1
stable_across_states,ENSG00000109189,USP46
stable_across_states,ENSG00000109944,C11orf63
stable_across_states,ENSG00000110048,OSBP
stable_across_states,ENSG00000110514,MADD
stable_across_states,ENSG00000111642,CHD4
stable_across_states,ENSG00000111667,USP5
stable_across_states,ENSG00000111962,UST
stable_across_states,ENSG00000112149,CD83
stable_across_states,ENSG00000112486,CCR6
stable_across_states,ENSG00000112685,EXOC2
stable_across_states,ENSG00000112992,NNT
stable_across_states,ENSG00000113569,NUP155
stable_across_states,ENSG00000114302,PRKAR2A
stable_across_states,ENSG00000114867,EIF4G1
stable_across_states,ENSG00000114993,RTKN
stable_across_states,ENSG00000115053,NCL
stable_across_states,ENSG00000115970,THADA
stable_across_states,ENSG00000116005,PCYOX1
stable_across_states,ENSG00000116062,MSH6
stable_across_states,ENSG00000116127,ALMS1
stable_across_states,ENSG00000116641,DOCK7
stable_across_states,ENSG00000116685,KIAA2013
stable_across_states,ENSG00000116691,MIIP
stable_across_states,ENSG00000117593,DARS2
stable_across_states,ENSG00000117597,DIEXF
stable_across_states,ENSG00000117868,ESYT2
stable_across_states,ENSG00000118705,RPN2
stable_across_states,ENSG00000119285,HEATR1
stable_across_states,ENSG00000119537,KDSR
stable_across_states,ENSG00000119596,YLPM1
stable_across_states,ENSG00000119685,TTLL5
stable_across_states,ENSG00000119711,ALDH6A1
stable_across_states,ENSG00000119912,IDE
stable_across_states,ENSG00000120029,C10orf76
stable_across_states,ENSG00000122507,BBS9
stable_across_states,ENSG00000122512,PMS2
stable_across_states,ENSG00000124228,DDX27
stable_across_states,ENSG00000124507,PACSIN1
stable_across_states,ENSG00000124571,XPO5
stable_across_states,ENSG00000124767,GLO1
stable_across_states,ENSG00000124785,NRN1
stable_across_states,ENSG00000124942,AHNAK
stable_across_states,ENSG00000125107,CNOT1
stable_across_states,ENSG00000125740,FOSB
stable_across_states,ENSG00000127463,EMC1
stable_across_states,ENSG00000127616,SMARCA4
stable_across_states,ENSG00000128594,LRRC4
stable_across_states,ENSG00000128829,EIF2AK4
stable_across_states,ENSG00000128908,INO80
stable_across_states,ENSG00000129347,KRI1
stable_across_states,ENSG00000129680,MAP7D3
stable_across_states,ENSG00000131378,RFTN1
stable_across_states,ENSG00000131558,EXOC4
stable_across_states,ENSG00000132275,RRP8
stable_across_states,ENSG00000132938,MTUS2
stable_across_states,ENSG00000132965,ALOX5AP
stable_across_states,ENSG00000133789,SWAP70
stable_across_states,ENSG00000133835,HSD17B4
stable_across_states,ENSG00000134262,AP4B1
stable_across_states,ENSG00000134897,BIVM
stable_across_states,ENSG00000134899,ERCC5
stable_across_states,ENSG00000134901,KDELC1
stable_across_states,ENSG00000134909,ARHGAP32
stable_across_states,ENSG00000134910,STT3A
stable_across_states,ENSG00000135119,RNFT2
stable_across_states,ENSG00000135597,REPS1
stable_across_states,ENSG00000135775,COG2
stable_across_states,ENSG00000136098,NEK3
stable_across_states,ENSG00000136425,CIB2
stable_across_states,ENSG00000136628,EPRS
stable_across_states,ENSG00000136811,ODF2
stable_across_states,ENSG00000136813,KIAA0368
stable_across_states,ENSG00000136875,PRPF4
stable_across_states,ENSG00000136960,ENPP2
stable_across_states,ENSG00000137574,TGS1
stable_across_states,ENSG00000137713,PPP2R1B
stable_across_states,ENSG00000138002,IFT172
stable_across_states,ENSG00000138670,RASGEF1B
stable_across_states,ENSG00000138674,SEC31A
stable_across_states,ENSG00000138698,RAP1GDS1
