arm,arm_label,model,term,n,odds_ratio,ci_low,ci_high,p_value
DX,Pre-treatment,"Neutrophil, unadjusted",neutrophil,90,3.4923489389894167,0.8800893464057019,13.858253325609722,0.07534997383760376
DX,Pre-treatment,"Neutrophil, adjusted for sex",neutrophil,90,3.637992971347395,0.8995746594649916,14.712500758352126,0.07006190961685432
DX,Pre-treatment,"Neutrophil, adjusted for sex and bacterial load",neutrophil,80,3.610442748979519,0.6384474163556971,20.41718160293478,0.1464046895315298
DX,Pre-treatment,"T cell, adjusted for sex and bacterial load",tcell,80,0.48017734062186046,0.14392629777391436,1.6020024277208325,0.232726980802627
day_7,Day 7,"Neutrophil, unadjusted",neutrophil,91,6.066975746307121,1.4405589912340266,25.551327595927077,0.013988713308079978
day_7,Day 7,"Neutrophil, adjusted for sex",neutrophil,91,6.1025974103234955,1.4490995286497386,25.69988770004542,0.013677223212065149
day_7,Day 7,"Neutrophil, adjusted for sex and bacterial load",neutrophil,69,4.815508802325535,1.1099338401888483,20.892348882100233,0.03579384385506911
day_7,Day 7,"T cell, adjusted for sex and bacterial load",tcell,69,0.3866790337516106,0.13074440052551137,1.1436105450183631,0.08590340552957744
week_4,Week 4,"Neutrophil, unadjusted",neutrophil,92,2.887489534188117,0.8411741278169164,9.911854792401087,0.0919672202867228
week_4,Week 4,"Neutrophil, adjusted for sex",neutrophil,92,2.7314083517611856,0.7856893382763933,9.495599877220476,0.11397676394639326
week_4,Week 4,"Neutrophil, adjusted for sex and bacterial load",neutrophil,72,3.7098648706319253,0.8249322667821595,16.683912016237404,0.08743755014061899
week_4,Week 4,"T cell, adjusted for sex and bacterial load",tcell,72,0.6618886194926089,0.2140695255196222,2.0465152316772643,0.4736760308628276
week_24,Week 24,"Neutrophil, unadjusted",neutrophil,94,11.920455178602957,1.9473563433199106,72.96931152458234,0.007341442128709576
week_24,Week 24,"Neutrophil, adjusted for sex",neutrophil,94,12.292067519917138,1.8905536776569338,79.92099124181544,0.008620977768185639
week_24,Week 24,"Neutrophil, adjusted for sex and bacterial load",neutrophil,81,41.44690446837637,0.34969287241072505,4912.441818353831,0.12633882403017713
week_24,Week 24,"T cell, adjusted for sex and bacterial load",tcell,81,0.30696440913522,0.04090347086798094,2.3036467682622823,0.25077402073890187
