arm,arm_label,signature,genes_up,genes_down,rank_biserial_r,p_value,roc_auc
DX,Pre-treatment,Sweeney 3-gene,2,1,0.26333907056798633,0.2583280420720813,0.631669535283993
DX,Pre-treatment,Berry 393-gene core (interferon module),27,0,0.2323580034423407,0.3200230847450533,0.6161790017211703
DX,Pre-treatment,Kaforou 44-gene (myeloid up / lymphoid down),10,9,0.4010327022375215,0.08043840671288649,0.7005163511187608
DX,Pre-treatment,Zak 16-gene risk (interferon-dominated),8,3,0.33562822719449215,0.1466419273400841,0.6678141135972461
day_7,Day 7,Sweeney 3-gene,2,1,0.39607843137254894,0.10942683847543148,0.6980392156862745
day_7,Day 7,Berry 393-gene core (interferon module),27,0,0.2823529411764707,0.2600374675557361,0.6411764705882353
day_7,Day 7,Kaforou 44-gene (myeloid up / lymphoid down),10,9,0.5254901960784313,0.030188970720403455,0.7627450980392156
day_7,Day 7,Zak 16-gene risk (interferon-dominated),8,3,0.41960784313725497,0.08889238702813754,0.7098039215686275
week_4,Week 4,Sweeney 3-gene,2,1,0.1875,0.39342583739254894,0.59375
week_4,Week 4,Berry 393-gene core (interferon module),27,0,0.22023809523809534,0.31469452808052334,0.6101190476190477
week_4,Week 4,Kaforou 44-gene (myeloid up / lymphoid down),10,9,0.35416666666666674,0.10131098863784425,0.6770833333333334
week_4,Week 4,Zak 16-gene risk (interferon-dominated),8,3,0.2946428571428572,0.1755749391764889,0.6473214285714286
week_24,Week 24,Sweeney 3-gene,2,1,0.8325123152709359,3.753194186387513e-05,0.916256157635468
week_24,Week 24,Berry 393-gene core (interferon module),27,0,0.8029556650246306,9.367490932323409e-05,0.9014778325123152
week_24,Week 24,Kaforou 44-gene (myeloid up / lymphoid down),10,9,0.9113300492610839,1.4056453347392193e-06,0.9556650246305418
week_24,Week 24,Zak 16-gene risk (interferon-dominated),8,3,0.8456486042692939,2.395400191998257e-05,0.922824302134647
