arm,arm_label,gene_set,term,overlap,p_value,adjusted_p,genes
week_4,Week 4,MSigDB_Hallmark_2020,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,5/424,0.0037058564813073,0.0608830992173578,PSENEN;KSR1;PSME1;AP3B1;PSMB10
week_4,Week 4,MSigDB_Hallmark_2020,Asparagine N-linked Glycosylation R-HSA-446203,4/282,0.0049816342163415,0.0608830992173578,LMAN2;MGAT5;STT3A;ARF5
week_4,Week 4,MSigDB_Hallmark_2020,Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978,2/48,0.006172902575506,0.0608830992173578,PSME1;PSMB10
week_4,Week 4,MSigDB_Hallmark_2020,Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,2/49,0.0064255716310063,0.0608830992173578,PSME1;PSMB10
week_4,Week 4,MSigDB_Hallmark_2020,Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562,2/50,0.0066828970303688,0.0608830992173578,PSME1;PSMB10
week_4,Week 4,MSigDB_Hallmark_2020,GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,2/51,0.0069448554030986,0.0608830992173578,PSME1;PSMB10
week_4,Week 4,MSigDB_Hallmark_2020,Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,2/51,0.0069448554030986,0.0608830992173578,PSME1;PSMB10
week_4,Week 4,MSigDB_Hallmark_2020,Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,2/51,0.0069448554030986,0.0608830992173578,PSME1;PSMB10
week_24,Week 24,MSigDB_Hallmark_2020,Late SARS-CoV-2 Infection Events R-HSA-9772573,2/58,0.0092602829393189,0.2056127828955038,MGAT5;STT3A
week_24,Week 24,MSigDB_Hallmark_2020,Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,2/62,0.0105265894654256,0.2056127828955038,HSP90AB1;FCGR1A
week_24,Week 24,MSigDB_Hallmark_2020,RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158,1/5,0.0124387771927725,0.2056127828955038,SMAD3
week_24,Week 24,MSigDB_Hallmark_2020,Leukotriene Receptors R-HSA-391906,1/5,0.0124387771927725,0.2056127828955038,LTB4R
week_24,Week 24,MSigDB_Hallmark_2020,Uptake And Function Of Diphtheria Toxin R-HSA-5336415,1/6,0.0149082847993736,0.2056127828955038,HSP90AB1
week_24,Week 24,MSigDB_Hallmark_2020,SMAD2/3 Phosphorylation Motif Mutants In Cancer R-HSA-3304356,1/6,0.0149082847993736,0.2056127828955038,SMAD3
week_24,Week 24,MSigDB_Hallmark_2020,G Alpha (Q) Signaling Events R-HSA-416476,3/212,0.0159696302578282,0.2056127828955038,P2RY10;RGS19;LTB4R
week_24,Week 24,MSigDB_Hallmark_2020,Aryl Hydrocarbon Receptor Signaling R-HSA-8937144,1/7,0.0173717414502839,0.2056127828955038,HSP90AB1
week_24,Week 24,MSigDB_Hallmark_2020,RUNX3 Regulates CDKN1A Transcription R-HSA-8941855,1/7,0.0173717414502839,0.2056127828955038,SMAD3
week_24,Week 24,MSigDB_Hallmark_2020,Loss Of Function Of SMAD2/3 In Cancer R-HSA-3304349,1/7,0.0173717414502839,0.2056127828955038,SMAD3
week_24,Week 24,MSigDB_Hallmark_2020,Loss Of Function Of TGFBR1 In Cancer R-HSA-3656534,1/7,0.0173717414502839,0.2056127828955038,SMAD3
week_24,Week 24,MSigDB_Hallmark_2020,POLB-Dependent Long Patch Base Excision Repair R-HSA-110362,1/8,0.0198291614511851,0.2056127828955038,LRIG1
week_24,Week 24,MSigDB_Hallmark_2020,RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of Keratinocytes R-HSA-8939242,1/8,0.0198291614511851,0.2056127828955038,SOCS3
week_24,Week 24,MSigDB_Hallmark_2020,Myoclonic Epilepsy Of Lafora R-HSA-3785653,1/8,0.0198291614511851,0.2056127828955038,GYG1
week_24,Week 24,MSigDB_Hallmark_2020,Signaling By TGF-beta Receptor Complex In Cancer R-HSA-3304351,1/8,0.0198291614511851,0.2056127828955038,SMAD3
