timepoint,discovery_arm,comparison,genes_transferred,n,n_relapse,roc_auc,ci_low,ci_high,p_value
Diagnosis,Pre-treatment,matched timepoint,53,19,9,0.4666666666666667,0.20238095238095238,0.7555769230769229,0.8382564863858263
Diagnosis,Week 24,cross-timepoint,55,19,9,0.5,0.23333333333333334,0.7840909090909091,1.0
Week 2,Day 7,matched timepoint,58,18,8,0.3125,0.06944444444444446,0.6111111111111112,0.20307143836555602
Week 2,Week 24,cross-timepoint,55,18,8,0.525,0.2207792207792208,0.8250540123456788,0.8967503085150144
Week 4,Week 4,matched timepoint,55,20,10,0.35,0.12118181818181814,0.6354403409090909,0.27303633975118835
Week 4,Week 24,cross-timepoint,55,20,10,0.49,0.1918831168831169,0.7604538690476189,0.9698499769931556
