arm,n,unfavourable,model,roc_auc,ci_low,ci_high,pr_auc,sens_unfavourable,spec_unfavourable,ppv_unfavourable,npv_unfavourable,sens_cured,spec_cured,mcc,brier,permutation_p,loo_auc
Pre-treatment,90,7,Random forest,0.654,0.343,0.895,0.179,0.714,0.771,0.208,0.97,0.771,0.714,0.294,0.075,0.1816,0.687
Day 7,91,6,Random forest,0.694,0.563,0.819,0.113,1.0,0.541,0.133,1.0,0.541,1.0,0.269,0.074,0.2016,0.671
Week 4,92,8,Gradient boosting,0.597,0.332,0.846,0.206,0.625,0.667,0.152,0.949,0.667,0.625,0.171,0.079,0.2635,0.488
Week 24,94,7,Random forest,0.926,0.813,0.995,0.668,0.857,0.908,0.429,0.988,0.908,0.857,0.564,0.045,0.006,0.926
All timepoints,367,28,Random forest,0.683,0.567,0.787,0.159,0.536,0.826,0.203,0.956,0.826,0.536,0.239,0.07,0.004,
