sample_code,Neutrophil,T_cell,Monocyte,B_cell,NK_cell,NLR_score,label,arm
S100_DX,-0.2998008551985713,1.4349242230586494,-0.5379273241467188,1.1805724640457276,1.1917450511121384,-1.7347250782572208,0,DX
S101_DX,0.597614170189119,0.2815190060480391,-0.5251817454016795,0.13542291074858512,-0.13538897935220562,0.3160951641410799,0,DX
S102_DX,-0.4507189170086851,0.9711070718507739,-1.1717728427442557,0.6000145536621831,0.5335707449941992,-1.421825988859459,0,DX
S103_DX,0.16359833440383373,-0.2182521102040429,0.5793627572314968,0.24855383575280585,-0.8819297663589208,0.38185044460787665,0,DX
S104_DX,0.03190882300197432,-1.0171666678911966,-0.08399202246206149,-0.7892100473807105,0.8053716898442898,1.049075490893171,0,DX
S105_DX,-0.14124506386666796,0.9565048392938004,-1.1579599093610944,1.3148661659761267,0.21550823747567976,-1.0977499031604683,0,DX
S106_DX,0.4729014720536252,-0.5468451440955597,-0.24002617577135452,-0.2902879295554192,-0.8890676287637362,1.019746616149185,0,DX
S108_DX,0.34457630422867,-0.7581903999582617,0.8524907045615,-0.08879873621413063,-1.560130260312055,1.1027667041869318,0,DX
S111_DX,-0.5966621143377658,-0.22096244907762255,-0.20099235943029112,-0.7005515603867584,0.8442440866642821,-0.3756996652601433,0,DX
S112_DX,-0.43531330631812903,-0.20774280040141013,0.6923022559498462,-1.2462913789479952,0.9803875357615486,-0.2275705059167189,0,DX
S123_DX,0.27764028659687434,0.22233350466998042,0.9349174814199476,-1.0792085839605579,0.7518248597174482,0.05530678192689392,0,DX
S124_DX,-0.14867634844189936,-0.5032106172612849,0.14753756943037907,1.0131639743881058,-0.6569259686169522,0.35453426881938555,0,DX
S126_DX,0.6330809608318608,-1.2881735338115388,0.3415169934010213,-0.6419833199574091,-0.35301559326661974,1.9212544946433996,0,DX
S128_DX,0.586866626542056,-0.5152875916590259,0.7298465807404576,-0.41718562111031837,-0.13001628461140596,1.102154218201082,0,DX
S129_DX,-0.35152805601020465,0.27676701680110855,0.6041615879973491,-1.4881360998323292,1.1621040450703273,-0.6282950728113132,0,DX
S131_DX,1.5314510511560353,-0.464012836484449,0.34486940252667614,1.0130705273353218,0.0760864007436323,1.9954638876404842,0,DX
S132_DX,-0.6407877600991816,0.49502598206771153,0.06942528019488223,-0.08096308335674586,0.486124013675903,-1.135813742166893,0,DX
