timepoint,cell_type,n_unfavourable,n_cured,median_unfavourable,median_cured,rank_biserial_r,p_value
Diagnosis,Neutrophil,9,10,-0.03205289710753559,0.08762621812911596,0.0,1.0
Diagnosis,T_cell,9,10,-0.5375025293328182,0.06919327998262569,-0.2222222222222222,0.437942822899974
Diagnosis,NLR_score,9,10,0.257337022321781,-0.01718114753168317,0.22222222222222232,0.437942822899974
Week 2,Neutrophil,8,10,-0.13429646489966734,-0.07323168153569375,-0.050000000000000044,0.8967503085150144
Week 2,T_cell,8,10,0.20391048306037723,0.17938589306609232,-0.025000000000000022,0.965400612459436
Week 2,NLR_score,8,10,-0.06731436776542594,-0.3960974820514005,-0.025000000000000022,0.965400612459436
Week 4,Neutrophil,10,10,-0.16853913837909518,-0.16018603089376623,-0.09999999999999998,0.7337299956962472
Week 4,T_cell,10,10,0.22330997274766634,0.41195880231325155,-0.24,0.3846730627355087
Week 4,NLR_score,10,10,-0.24632151157606264,-0.45719685767201806,0.08000000000000007,0.7913367801006604
