ensembl,gene_symbol,univariate_F
ENSG00000170439,METTL7B,76.93443595311584
ENSG00000108950,FAM20A,68.0436843070981
ENSG00000234571,RP5-998N21.4,53.95693710541277
ENSG00000173239,LIPM,49.00684152597148
ENSG00000198019,FCGR1B,43.07075968767132
ENSG00000078589,P2RY10,40.864893212861986
ENSG00000150337,FCGR1A,39.655831297393426
ENSG00000134910,STT3A,38.2085206684676
ENSG00000122507,BBS9,37.556081093586705
ENSG00000141574,SECTM1,36.809330719284866
ENSG00000082014,SMARCD3,36.7285639036598
ENSG00000184557,SOCS3,36.51411806452386
ENSG00000117597,DIEXF,36.480179248536736
ENSG00000178927,C17orf62,36.42413860518487
ENSG00000116127,ALMS1,36.338080332405
ENSG00000124785,NRN1,35.84416487039115
ENSG00000178104,PDE4DIP,35.69416408578628
ENSG00000075399,VPS9D1,35.4467632860013
ENSG00000153107,ANAPC1,35.335595858157525
ENSG00000142207,URB1,35.31309220285701
ENSG00000136875,PRPF4,34.73389589398028
ENSG00000096384,HSP90AB1,34.67683222630995
ENSG00000138758,SEPT11,34.50561733427069
ENSG00000084463,WBP11,34.30168782150974
ENSG00000145041,VPRBP,34.28204625595667
ENSG00000197272,IL27,34.08296101447292
ENSG00000152127,MGAT5,34.03675284960535
ENSG00000095203,EPB41L4B,33.91461319600594
ENSG00000253719,ATXN7L3B,33.747110923505005
ENSG00000166886,NAB2,33.719327742561475
ENSG00000129680,MAP7D3,33.554103785767026
ENSG00000163754,GYG1,33.46498979142511
ENSG00000136478,TEX2,33.390820070983395
ENSG00000164818,HEATR2,33.185590428399216
ENSG00000171700,RGS19,33.07569636719011
ENSG00000144749,LRIG1,32.87395887917256
ENSG00000162894,FAIM3,32.768145765521346
ENSG00000124784,RIOK1,32.663815682073064
ENSG00000136628,EPRS,32.627529543580906
ENSG00000166949,SMAD3,32.496787771077024
ENSG00000148843,PDCD11,32.367717266026496
ENSG00000110048,OSBP,32.336760179275174
ENSG00000085511,MAP3K4,32.33338428452004
ENSG00000127804,METTL16,32.21606593951225
ENSG00000213903,LTB4R,32.170852293279424
ENSG00000102796,DHRS12,32.100999734294184
ENSG00000133706,LARS,32.06056325080192
ENSG00000166197,NOLC1,31.887314565086143
ENSG00000168672,FAM84B,31.82544910779382
ENSG00000168899,VAMP5,31.48001028497491
ENSG00000113569,NUP155,31.465248655262272
ENSG00000183696,UPP1,31.369511275389804
ENSG00000214212,C19orf38,31.366442993360035
ENSG00000112486,CCR6,31.363214554844383
ENSG00000182670,TTC3,31.31608109413092
ENSG00000136160,EDNRB,31.202007741198447
ENSG00000198301,SDAD1,31.166016544052034
ENSG00000203666,EFCAB2,31.06263606607522
ENSG00000244462,RBM12,31.036659131897423
ENSG00000115306,SPTBN1,30.917118768668914
ENSG00000101266,CSNK2A1,30.910975972637676
ENSG00000117868,ESYT2,30.88433544412142
ENSG00000138698,RAP1GDS1,30.72820392338103
ENSG00000136811,ODF2,30.604586807155133
ENSG00000152766,ANKRD22,30.597879427197256
ENSG00000158417,EIF5B,30.516481309995594
ENSG00000169228,RAB24,30.47813628680569
ENSG00000074660,SCARF1,30.437354918648644
ENSG00000122694,GLIPR2,30.432309405528375
ENSG00000125484,GTF3C4,30.343456902463693
ENSG00000151623,NR3C2,30.341238145012397
ENSG00000168763,CNNM3,30.322617524410877
ENSG00000100380,ST13,30.310042814007907
ENSG00000163050,ADCK3,30.17873052710495
ENSG00000163935,SFMBT1,30.17782175060528
ENSG00000070814,TCOF1,30.157532151469614
ENSG00000100335,MIEF1,30.077038524052334
ENSG00000167257,RNF214,30.039631641129887
ENSG00000143578,CREB3L4,30.030284991195945
ENSG00000065183,WDR3,29.987544397618663
ENSG00000165733,BMS1,29.960779572212758
ENSG00000144736,SHQ1,29.90961457749239
ENSG00000159023,EPB41,29.874028044351338
ENSG00000086102,NFX1,29.817088868205502
ENSG00000094916,CBX5,29.790957730219517
ENSG00000159063,ALG8,29.624415262918713
ENSG00000102931,ARL2BP,29.6172471603672
ENSG00000152465,NMT2,29.526312584356315
ENSG00000129667,RHBDF2,29.514993145986733
ENSG00000094880,CDC23,29.484782930051814
ENSG00000106344,RBM28,29.421262207835586
ENSG00000183347,GBP6,29.345404140759438
ENSG00000116560,SFPQ,29.28367670140204
ENSG00000197024,ZNF398,29.26123171332668
ENSG00000135763,URB2,29.231669889973524
ENSG00000108312,UBTF,29.144106327995463
ENSG00000188822,CNR2,29.08558875929823
ENSG00000087157,PGS1,28.86221938331822
ENSG00000113360,DROSHA,28.84589330794709
ENSG00000143799,PARP1,28.817788167692136
ENSG00000086827,ZW10,28.817010161263834
ENSG00000135404,CD63,28.804253740412598
ENSG00000163220,S100A9,28.795025021983516
ENSG00000198589,LRBA,28.789220559557883
ENSG00000162645,GBP2,28.759137172822186
ENSG00000173914,RBM4B,28.602306919929173
ENSG00000148450,MSRB2,28.55090158344953
ENSG00000188917,TRMT2B,28.544505694939737
ENSG00000103423,DNAJA3,28.44953714010649
ENSG00000113013,HSPA9,28.43309877163571
ENSG00000139832,RAB20,28.3451875210555
ENSG00000164091,WDR82,28.26030441026026
ENSG00000130764,LRRC47,28.256582629011376
ENSG00000138674,SEC31A,28.16355566134521
ENSG00000119537,KDSR,28.16264589082811
ENSG00000115504,EHBP1,28.049121121293012
ENSG00000143157,POGK,27.98870981479211
ENSG00000119285,HEATR1,27.959572204618464
ENSG00000130826,DKC1,27.958131754178844
ENSG00000100426,ZBED4,27.91243055733221
ENSG00000234745,HLA-B,27.90036929442467
ENSG00000108294,,27.88085002238251
ENSG00000107485,GATA3,27.85104258523445
ENSG00000168395,ING5,27.841393166262723
ENSG00000177764,,27.840846600088792
ENSG00000127463,EMC1,27.827903943282656
ENSG00000134954,ETS1,27.82411910198085
ENSG00000178105,DDX10,27.819735190133553
ENSG00000254470,AP5B1,27.805824354053414
ENSG00000072736,NFATC3,27.706134603521072
ENSG00000165675,ENOX2,27.701556164005275
ENSG00000135829,DHX9,27.69103180315051
ENSG00000152022,,27.591944269877906
ENSG00000099985,OSM,27.58725626459163
ENSG00000129351,ILF3,27.533579462011613
ENSG00000163818,LZTFL1,27.503319923289347
ENSG00000167986,DDB1,27.46952827391605
ENSG00000091542,ALKBH5,27.45583088287425
ENSG00000072858,SIDT1,27.39932803282461
ENSG00000130638,ATXN10,27.39675256909486
ENSG00000168062,BATF2,27.364287387497956
ENSG00000073849,ST6GAL1,27.364211090664245
ENSG00000186918,ZNF395,27.348431176560943
ENSG00000198954,KIAA1279,27.346224266320004
ENSG00000182307,C8orf33,27.315212624794768
ENSG00000198874,TYW1,27.260611523320804
