ensembl,gene_symbol,univariate_F
ENSG00000186787,SPIN2B,7.46646335102415
ENSG00000075240,GRAMD4,7.448444952909981
ENSG00000130764,LRRC47,7.432968561968857
ENSG00000100473,COCH,7.4261055394427515
ENSG00000171612,SLC25A33,7.424229929772263
ENSG00000176978,DPP7,7.417635199197615
ENSG00000141101,NOB1,7.413489465741298
ENSG00000143994,ABHD1,7.412968073565871
ENSG00000185115,NDNL2,7.403376341807826
ENSG00000269175,,7.392735272721262
ENSG00000182742,HOXB4,7.391459524257057
ENSG00000100416,TRMU,7.3739153759395775
ENSG00000105699,LSR,7.373656244168006
ENSG00000198937,CCDC167,7.34141536288741
ENSG00000083457,ITGAE,7.3278546297037295
ENSG00000162004,CCDC78,7.303499405443699
ENSG00000158406,HIST1H4H,7.2803842510275345
ENSG00000138678,AGPAT9,7.265350691235241
ENSG00000161533,ACOX1,7.264828712435166
ENSG00000198874,TYW1,7.25781524145839
ENSG00000129197,RPAIN,7.251816827996001
ENSG00000176476,CCDC101,7.242594655611135
ENSG00000105516,DBP,7.231278133084571
ENSG00000239839,DEFA3,7.218294021940875
ENSG00000142920,AZIN2,7.20900816067393
ENSG00000196549,MME,7.206509321889563
ENSG00000243156,MICAL3,7.203406885672008
ENSG00000160408,ST6GALNAC6,7.183798362682551
ENSG00000173083,HPSE,7.17856222732182
ENSG00000184716,SERINC4,7.175682510999392
ENSG00000121410,A1BG,7.1747496866548595
ENSG00000171700,RGS19,7.153729077757297
ENSG00000114670,NEK11,7.150776417719883
ENSG00000238121,LINC00426,7.142104925426794
ENSG00000182108,DEXI,7.137303025875877
ENSG00000103264,FBXO31,7.128029065176734
ENSG00000148843,PDCD11,7.119112778479341
ENSG00000160785,SLC25A44,7.118151507298512
ENSG00000174136,RGMB,7.108265447905216
ENSG00000182500,,7.098082539342776
ENSG00000203814,HIST2H2BF,7.079892492715787
ENSG00000106351,AGFG2,7.0796248255436325
ENSG00000112425,EPM2A,7.079461926637904
ENSG00000117868,ESYT2,7.068916546935617
ENSG00000125650,PSPN,7.067658204422761
ENSG00000105373,GLTSCR2,7.067148670370265
ENSG00000214226,C17orf67,7.057857898059737
ENSG00000196976,LAGE3,7.0532494143659985
ENSG00000145882,PCYOX1L,7.05209710152812
ENSG00000165060,FXN,7.050716110864676
ENSG00000153714,LURAP1L,7.046168725959927
ENSG00000139266,MARCH9,7.018012814045958
ENSG00000185112,FAM43A,7.012899363583799
ENSG00000215788,TNFRSF25,7.008614219791951
ENSG00000113231,PDE8B,7.006211271928558
ENSG00000006432,MAP3K9,6.999675498258487
ENSG00000127337,YEATS4,6.99476914165871
ENSG00000165282,PIGO,6.989267144650451
ENSG00000150456,N6AMT2,6.9871117154475
ENSG00000103150,MLYCD,6.977594731299979
ENSG00000143740,SNAP47,6.973505127850418
ENSG00000137819,PAQR5,6.957412780628452
