ensembl,gene_symbol,univariate_F
ENSG00000107937,GTPBP4,28.88378777448736
ENSG00000136811,ODF2,28.870788000520243
ENSG00000269524,CTB-83J4.1,28.85270987832432
ENSG00000113407,TARS,28.79943855197448
ENSG00000143437,ARNT,28.764966876888955
ENSG00000148450,MSRB2,28.733884312741306
ENSG00000175756,AURKAIP1,28.729294384306648
ENSG00000152642,GPD1L,28.726488076557423
ENSG00000145041,VPRBP,28.721757058188388
ENSG00000124177,CHD6,28.667463977490158
ENSG00000198301,SDAD1,28.665607526061144
ENSG00000070061,IKBKAP,28.637925411153315
ENSG00000147316,MCPH1,28.631018282529137
ENSG00000116685,KIAA2013,28.629082476637628
ENSG00000174136,RGMB,28.576497655270355
ENSG00000063587,ZNF275,28.5610019628654
ENSG00000152465,NMT2,28.543133642227172
ENSG00000151952,TMEM132D,28.528525579117517
ENSG00000152556,PFKM,28.515206895249232
ENSG00000102796,DHRS12,28.506461741619844
ENSG00000141068,KSR1,28.49403049327244
ENSG00000105289,TJP3,28.450426213846125
ENSG00000120800,UTP20,28.44472401405166
ENSG00000089094,KDM2B,28.441745266071663
ENSG00000169239,CA5B,28.441682197185152
ENSG00000089876,DHX32,28.339066327164062
ENSG00000178607,ERN1,28.334573667025808
ENSG00000198919,DZIP3,28.27951870063218
ENSG00000163935,SFMBT1,28.25471896456446
ENSG00000197956,S100A6,28.211885064059146
ENSG00000144036,EXOC6B,28.18241024379548
ENSG00000205220,PSMB10,28.15557133889587
ENSG00000116560,SFPQ,28.14507309989998
ENSG00000158417,EIF5B,28.07342299985838
ENSG00000231412,CTC-490G23.2,28.061823330191057
ENSG00000185875,THNSL1,28.049564818720917
ENSG00000197312,DDI2,28.028678189615285
ENSG00000124942,AHNAK,28.017747308048943
ENSG00000168264,IRF2BP2,27.99039037582048
ENSG00000005075,POLR2J,27.969357835898833
ENSG00000166750,SLFN5,27.905558567984553
ENSG00000205155,PSENEN,27.900115231701637
ENSG00000143493,INTS7,27.864737113710106
ENSG00000114861,FOXP1,27.836056586856404
ENSG00000138443,ABI2,27.832163792381188
ENSG00000146463,ZMYM4,27.826719960415236
ENSG00000204482,LST1,27.82131407385522
ENSG00000155592,ZKSCAN2,27.8160786957571
ENSG00000183784,C9orf66,27.798919629696698
ENSG00000143799,PARP1,27.75634312507871
ENSG00000129347,KRI1,27.730580547292917
ENSG00000162894,FAIM3,27.724000005792984
ENSG00000140577,CRTC3,27.70042528445779
ENSG00000133706,LARS,27.684118597618653
ENSG00000127022,CANX,27.662380438376367
ENSG00000070087,PFN2,27.661465614444264
ENSG00000130559,CAMSAP1,27.658728558871413
ENSG00000253719,ATXN7L3B,27.651239091909954
ENSG00000164300,SERINC5,27.602475206980927
ENSG00000188822,CNR2,27.586278470579423
ENSG00000080573,COL5A3,27.577721141413814
ENSG00000067704,IARS2,27.571839095308924
