ensembl,gene_symbol,univariate_F
ENSG00000148814,LRRC27,9.146138633619541
ENSG00000198824,CHAMP1,9.138048335092474
ENSG00000147144,CCDC120,9.069573683158797
ENSG00000106263,EIF3B,9.064718871579688
ENSG00000093072,CECR1,9.045896590995609
ENSG00000197697,,9.027613262641347
ENSG00000143514,TP53BP2,9.025561337348282
ENSG00000086758,HUWE1,9.0254803294757
ENSG00000013503,POLR3B,9.018174727608155
ENSG00000204084,INPP5B,9.000602330544414
ENSG00000010626,LRRC23,8.995741701754438
ENSG00000000938,FGR,8.990865970656008
ENSG00000100350,FOXRED2,8.956832421889061
ENSG00000148606,POLR3A,8.946805113755493
ENSG00000213903,LTB4R,8.917449691587251
ENSG00000147130,ZMYM3,8.909548591179442
ENSG00000089597,GANAB,8.88018161677672
ENSG00000213937,CLDN9,8.867485949234355
ENSG00000119777,TMEM214,8.856581187559113
ENSG00000204574,ABCF1,8.84767936463062
ENSG00000137497,NUMA1,8.837915522078076
ENSG00000075945,KIFAP3,8.809854573312546
ENSG00000204178,TMEM57,8.806510049703352
ENSG00000139641,ESYT1,8.790943532130626
ENSG00000174437,ATP2A2,8.774614244147084
ENSG00000112130,RNF8,8.771759807159903
ENSG00000128928,IVD,8.735460241569692
ENSG00000112992,NNT,8.725192376796604
ENSG00000184497,TMEM255B,8.714384442183594
ENSG00000010610,CD4,8.708134498631944
ENSG00000102606,ARHGEF7,8.708027956424944
ENSG00000111642,CHD4,8.702663847212342
ENSG00000168872,DDX19A,8.692079822448099
ENSG00000203814,HIST2H2BF,8.68415849609362
ENSG00000167986,DDB1,8.6692964342884
ENSG00000122507,BBS9,8.66632102438481
ENSG00000124177,CHD6,8.662438181791876
ENSG00000008869,HEATR5B,8.661030689505452
ENSG00000092820,EZR,8.640095394290194
ENSG00000198700,IPO9,8.640031366155231
ENSG00000175575,PAAF1,8.632210109700189
ENSG00000172071,EIF2AK3,8.623158416967529
ENSG00000101266,CSNK2A1,8.619275637551102
ENSG00000129347,KRI1,8.618925967872205
ENSG00000120029,C10orf76,8.616318453791584
ENSG00000067369,TP53BP1,8.612808375456911
ENSG00000005075,POLR2J,8.610798337773911
ENSG00000178104,PDE4DIP,8.607144762564154
ENSG00000183337,BCOR,8.605028713649482
ENSG00000145041,VPRBP,8.601303334666804
ENSG00000129680,MAP7D3,8.589358334968624
ENSG00000173253,DMRT2,8.583872367721707
ENSG00000144036,EXOC6B,8.58293413764254
ENSG00000121289,CEP89,8.57666448551404
ENSG00000164465,DCBLD1,8.572362791327485
ENSG00000122223,CD244,8.571381703213081
ENSG00000094916,CBX5,8.563440809927599
ENSG00000170445,HARS,8.562042294210134
ENSG00000187860,CCDC157,8.542811708574098
ENSG00000080503,SMARCA2,8.530470233372506
ENSG00000116005,PCYOX1,8.52887208345897
