ensembl,mean_failure,mean_cure,log2FC,p_value,rank_biserial,fdr,gene_symbol
ENSG00000198225,0.21790398981413103,0.0533879730861481,2.0291059098159336,1.551903129578662e-06,-0.7142857142857142,0.020179396393911343,FKBP1C
ENSG00000172890,2.1205768723173954,2.087334396441134,0.022795039983268203,5.1419179361932645e-05,-0.8244406196213425,0.2820043769155676,NADSYN1
ENSG00000143578,0.9942778317989082,1.1489828712458223,-0.20863634401599748,8.675055815290858e-05,0.8072289156626506,0.2820043769155676,CREB3L4
ENSG00000272079,1.2806938075566356,1.0624210634935818,0.26956993758621306,8.675055815290858e-05,-0.8072289156626506,0.2820043769155676,ENSG00000272079
ENSG00000067365,1.5346196096872258,1.455737153804513,0.07613120741217472,0.00020333899531614497,-0.7762478485370052,0.348255885813254,METTL22
ENSG00000127463,1.5834385707704064,1.641086413998701,-0.051590308863792525,0.00024243300118619656,0.7693631669535284,0.348255885813254,EMC1
ENSG00000132965,2.361281262629116,2.2947198929301256,0.041251837051141355,0.00024243300118619656,-0.7693631669535284,0.348255885813254,ALOX5AP
ENSG00000138698,1.7263542555839542,1.768895274800454,-0.03512009526224205,0.0002877868985078833,0.7624784853700517,0.348255885813254,RAP1GDS1
ENSG00000167065,1.5528762996892194,1.450772917062162,0.09812119230475695,0.0003130633684809708,-0.7590361445783131,0.348255885813254,DUSP18
ENSG00000138758,1.551144714084895,1.6240206308870053,-0.06623667107650688,0.0003402131213438827,0.7555938037865748,0.348255885813254,SEPTIN11
ENSG00000101181,1.9030049380559138,1.8532739737290078,0.03820313116876635,0.0003693560814656732,-0.7521514629948365,0.348255885813254,MTG2
ENSG00000128908,1.759699986235731,1.7941075533787967,-0.027936897002964735,0.0003693560814656732,0.7521514629948365,0.348255885813254,INO80
ENSG00000116127,1.2711829354924553,1.3635046905900259,-0.10114800017440662,0.00040060655176059703,0.7487091222030982,0.348255885813254,ALMS1
ENSG00000154309,0.6478246866246187,0.8391404912544602,-0.3733089245369965,0.00043409543181898347,0.7452667814113597,0.348255885813254,DISP1
ENSG00000138678,1.9933394062787038,1.9142700135176725,0.05839303838806653,0.0004699493382179813,-0.7418244406196213,0.348255885813254,GPAT3
ENSG00000151952,0.5081520242415013,0.11040211951789104,2.2024922940802787,0.000471561117446002,-0.7091222030981068,0.348255885813254,TMEM132D
ENSG00000135093,1.557632722387828,1.4981943976115033,0.056130264998763946,0.0005083109488341662,-0.7383820998278829,0.348255885813254,USP30
ENSG00000136628,1.8624416686910956,1.9019056346599408,-0.0302504255492998,0.0005493186585309332,0.7349397590361446,0.348255885813254,EPRS1
ENSG00000213937,1.7633826731356734,1.647589121957046,0.09798908292315077,0.0005931290649776946,-0.7314974182444063,0.348255885813254,CLDN9
ENSG00000163214,1.5533002849474777,1.6132868703474426,-0.054666238073025536,0.0005931290649776946,0.7314974182444062,0.348255885813254,DHX57
ENSG00000143493,1.4601934531721912,1.5128004945512472,-0.05106222332968039,0.0006897811465389648,0.7246127366609294,0.348255885813254,INTS7
ENSG00000168887,2.019099985541485,1.9799941235566025,0.028216205952688322,0.0006897811465389648,-0.7246127366609294,0.348255885813254,C2orf68
ENSG00000100362,0.6501561111176366,0.20974221452586916,1.6321689054202446,0.0007215374387126442,-0.7005163511187606,0.348255885813254,PVALB
ENSG00000134897,0.7336680632745408,0.9801317121745382,-0.41784814846762774,0.0007429587704998195,0.7211703958691911,0.348255885813254,BIVM
ENSG00000185024,1.769576818751966,1.819890077715193,-0.04044692184608838,0.0007429587704998195,0.7211703958691911,0.348255885813254,BRF1
ENSG00000111962,0.7210315560210423,0.9714219168172818,-0.43003563515228244,0.0007429587704998195,0.7211703958691911,0.348255885813254,UST
ENSG00000084444,0.9910220204538039,1.1010979512834256,-0.15195379400084758,0.0008599171529265221,0.7142857142857143,0.348255885813254,FAM234B
ENSG00000009954,1.8594356355909158,1.8968656579039627,-0.028752696181793578,0.0008599171529265221,0.7142857142857143,0.348255885813254,BAZ1B
ENSG00000157873,2.2542081255748165,2.220993112165642,0.021415803440623934,0.0008599171529265221,-0.7142857142857142,0.348255885813254,TNFRSF14
ENSG00000184497,0.4607767056961033,0.12040103918885166,1.9362199310044044,0.000978491618846304,-0.6523235800344234,0.348255885813254,TMEM255B
ENSG00000175216,1.720396878746252,1.7753752026707403,-0.045382532851118484,0.0009922927766731083,0.7074010327022375,0.348255885813254,CKAP5
