,OR,CI_low,CI_high,p,n
neutrophil_only:neutrophil,4.379006832497118,0.9977661412989364,19.21863254859767,0.05034741066009467,90.0
neutrophil_adj_sex:neutrophil,4.573422015462142,1.026760889310797,20.371041738406674,0.04608508116606167,90.0
neutrophil_adj_sex:male,1.7682039919225851,0.30650218562420617,10.200727771919825,0.5238385282505982,90.0
neutrophil_adj_sex_load:neutrophil,4.501999236998422,0.7515143579041408,26.969540790223544,0.09951547090451122,80.0
neutrophil_adj_sex_load:male,2.332070115602867,0.31617108067769184,17.201291820968557,0.4062325492462834,80.0
neutrophil_adj_sex_load:load,0.10534556076632438,0.010576317630782981,1.0492959421784844,0.05499266543193105,80.0
tcell_adj_sex_load:tcell,0.5863900993026321,0.16878246893729934,2.0372574872564995,0.4008834535504491,80.0
tcell_adj_sex_load:male,1.6367947695608522,0.2492979858320204,10.746565435418187,0.6078155207109073,80.0
tcell_adj_sex_load:load,0.10113231836191054,0.0111449958536732,0.9176984856287715,0.04172115932575188,80.0
