sample_id,Neutrophil,T_cell,Monocyte,B_cell,NK_cell,NLR_score,y
GSM2369706,-0.5167250646511043,1.1713011547764898,-0.9954215855912896,0.8976125721273719,0.9181607014796763,-1.6880262194275941,0
GSM2369714,0.6059544899172825,0.44556522906766344,-0.1762253405708143,0.27306897409724246,0.030564190812853585,0.16038926084961908,0
GSM2369722,-0.519100203023004,1.0297605093194726,-1.0072239059354937,0.5898139564271188,0.7129060163657911,-1.5488607123424765,0
GSM2369730,0.23459207320676298,-0.19583381247743306,0.4080539798065264,0.3568056052550794,-1.0528893867968228,0.43042588568419604,0
GSM2369738,0.2043365384579016,-1.0185922756547254,0.12175512157818148,-0.660112059537718,1.1077379977585218,1.222928814112627,0
GSM2369746,-0.27463173641093086,0.8859641688547187,-1.1295990188994425,1.166889810613526,0.0831800588149511,-1.1605959052656496,0
GSM2369754,0.6516464156917925,-0.2189484233959971,0.378808130220233,0.02147124658966897,-0.6997786440942549,0.8705948390877896,0
GSM2369760,0.5878174968792956,-0.5139394008493476,1.0843836741959874,0.22856129591613228,-1.8537368332163637,1.1017568977286434,0
GSM2369770,-0.29725195547095395,0.02714488460371837,0.05729371132154573,-0.5159390057519991,1.3064183385076256,-0.32439684007467234,0
GSM2369778,-0.5089161550106771,-0.4071135573419999,0.17147362886179188,-1.5373727676929707,0.9443515717107782,-0.10180259766867722,0
GSM2369784,0.2336215709367093,0.23514147745395966,0.5205453771140003,-1.207731332811248,0.8909348896759843,-0.001519906517250369,0
GSM2369792,0.08841675797360848,-0.34969747198592444,0.16352369514941179,1.181972593962187,-0.926762057506705,0.4381142299595329,0
GSM2369806,0.667288434289176,-1.5048278806599182,0.35733272994792836,-0.5760513432078149,-0.23984665970125527,2.1721163149490943,0
GSM2369814,0.5666921170462739,-0.542936646602122,0.5337587850956577,-0.3108974777370453,0.08261819558873142,1.109628763648396,0
GSM2369822,-0.2827102130496001,0.22092999697056465,0.17756357127340022,-1.8238561517659706,1.3806389302766628,-0.5036402100201647,0
GSM2369836,1.2418502678083616,-0.4328313338154916,0.4539119663212635,1.114018781089494,0.299380896217596,1.6746816016238533,0
GSM2369844,-0.6690777985408326,0.4001806849923331,-0.40866367094513517,-0.13894268768763587,0.38928596460505205,-1.0692584835331658,0
GSM2369852,-0.33535670417400193,0.9775693135098615,-0.8664315834524182,1.5775721531963185,0.03913486806006251,-1.3129260176838635,0
GSM2369858,-0.2834750066649739,0.15480733508712555,-0.3289590231501103,0.7810049277357188,0.38006156224121007,-0.43828234175209946,0
GSM2369864,0.49525851295076456,-1.1075752317004295,0.6590870222988415,0.4125084998273148,1.5861425790998074,1.602833744651194,0
