ensembl,gene_symbol,mean_failure_log2,mean_cure_log2,log2FC,p_value,fdr
ENSG00000172890,NADSYN1,7.33655102615438,7.065703956675892,0.2708470694784877,5.1419179361932645e-05,0.43894433561116747
ENSG00000143578,CREB3L4,1.7111475850190574,2.1663230896588384,-0.45517550463978096,8.675055815290858e-05,0.43894433561116747
ENSG00000272079,LA16c-380H5.5,2.6074020506752125,1.9386437880284437,0.6687582626467687,8.675055815290858e-05,0.43894433561116747
ENSG00000164037,SLC9B1,-3.19457613885728,-2.090078272696696,-1.104497866160584,0.00012833567156407273,0.43894433561116747
ENSG00000067365,METTL22,3.6425580697317046,3.2934642179255342,0.34909385180617036,0.00020333899531614497,0.43894433561116747
ENSG00000132965,ALOX5AP,9.606143649501524,8.937266883955182,0.6688767655463419,0.00024243300118619656,0.43894433561116747
ENSG00000127463,EMC1,3.8737887794703942,4.164700292150025,-0.29091151267963067,0.00024243300118619656,0.43894433561116747
ENSG00000138698,RAP1GDS1,4.621976787600533,4.866483412138553,-0.24450662453801986,0.0002877868985078833,0.43894433561116747
ENSG00000167065,DUSP18,3.7284701006601324,3.2797384301740165,0.44873167048611595,0.0003130633684809708,0.43894433561116747
ENSG00000138758,SEPT11,3.7211015769439713,4.080365313356306,-0.35926373641233456,0.0003402131213438827,0.43894433561116747
ENSG00000101181,MTG2,5.707964898554211,5.386304397499627,0.3216605010545841,0.0003693560814656732,0.43894433561116747
ENSG00000128908,INO80,4.811281684392836,5.016180629861049,-0.20489894546821308,0.0003693560814656732,0.43894433561116747
ENSG00000116127,ALMS1,2.5702856519398902,2.9183844673898296,-0.34809881544993937,0.00040060655176059703,0.43894433561116747
ENSG00000154309,DISP1,0.9229954242099956,1.334858776455279,-0.4118633522452835,0.00043409543181898347,0.43894433561116747
ENSG00000138678,AGPAT9,6.345292212387808,5.798993198267266,0.5462990141205424,0.0004699493382179813,0.43894433561116747
ENSG00000135093,USP30,3.748181409833255,3.479214988463472,0.2689664213697829,0.0005083109488341662,0.43894433561116747
ENSG00000124785,NRN1,3.495232217021667,1.717991065793352,1.777241151228315,0.0005083109488341662,0.43894433561116747
ENSG00000136628,EPRS,5.441299652284903,5.701339231514149,-0.2600395792292458,0.0005493186585309332,0.43894433561116747
ENSG00000163214,DHX57,3.7286729390932045,4.024310193093785,-0.2956372540005807,0.0005931290649776946,0.43894433561116747
ENSG00000213937,CLDN9,4.837970344112789,4.2182956188557865,0.6196747252570027,0.0005931290649776946,0.43894433561116747
ENSG00000198225,FKBP1C,0.20131085754330463,-0.43813403405377505,0.6394448915970796,0.0006897811465389648,0.43894433561116747
ENSG00000168887,C2orf68,6.533570573630223,6.245184668358091,0.2883859052721327,0.0006897811465389648,0.43894433561116747
ENSG00000143493,INTS7,3.309018787976096,3.542790479043453,-0.23377169106735707,0.0006897811465389648,0.43894433561116747
ENSG00000111962,UST,1.088596187117856,1.6752652571945097,-0.5866690700766537,0.0007429587704998195,0.43894433561116747
ENSG00000134897,BIVM,1.1080963121380163,1.7017668037345908,-0.5936704915965745,0.0007429587704998195,0.43894433561116747
ENSG00000185024,BRF1,4.870992964561791,5.175860994730809,-0.3048680301690183,0.0007429587704998195,0.43894433561116747
ENSG00000009954,BAZ1B,5.42208621830994,5.668049699220553,-0.24596348091061326,0.0008599171529265221,0.43894433561116747
ENSG00000152939,MARVELD2,-3.3468494665184028,-2.6070444919510574,-0.7398049745673454,0.0008599171529265221,0.43894433561116747
ENSG00000157873,TNFRSF14,8.530191210221437,8.218746154231777,0.31144505598966,0.0008599171529265221,0.43894433561116747
ENSG00000084444,KIAA1467,1.6959446284846627,2.021026354884353,-0.32508172639969035,0.0008599171529265221,0.43894433561116747
ENSG00000175216,CKAP5,4.589325217011607,4.908475279718064,-0.3191500627064574,0.0009922927766731083,0.43894433561116747
ENSG00000134910,STT3A,5.5063530661436255,5.785070564650315,-0.2787174985066896,0.0009922927766731083,0.43894433561116747
ENSG00000113569,NUP155,3.4804031412551635,3.73486006385661,-0.2544569226014466,0.0009922927766731083,0.43894433561116747
ENSG00000175198,PCCA,2.0258272580647025,2.375913853866853,-0.3500865958021504,0.0009922927766731083,0.43894433561116747
ENSG00000085511,MAP3K4,3.998480701280791,4.325377828417204,-0.3268971271364127,0.0010647750117918045,0.43894433561116747
ENSG00000119285,HEATR1,3.7232500409318283,4.019967578409809,-0.2967175374779809,0.0010647750117918045,0.43894433561116747
ENSG00000197312,DDI2,4.141037129587847,4.356072283103663,-0.21503515351581637,0.0010647750117918045,0.43894433561116747
ENSG00000069248,NUP133,4.516070598067621,4.711233422797517,-0.19516282472989577,0.0010647750117918045,0.43894433561116747
ENSG00000131480,AOC2,4.107884620523734,3.468020028894586,0.6398645916291481,0.0010647750117918045,0.43894433561116747
ENSG00000125740,FOSB,0.7463075264428742,1.4978470517311702,-0.7515395252882959,0.0011417391525155778,0.43894433561116747
ENSG00000100362,PVALB,1.048313743462084,-0.6836292000803679,1.7319429435424518,0.0011417391525155778,0.43894433561116747
ENSG00000168040,FADD,6.181547154882128,5.831599012664259,0.34994814221786896,0.0011417391525155778,0.43894433561116747
ENSG00000171723,GPHN,1.4666973224193214,1.8042354916308385,-0.33753816921151714,0.0012234199615043847,0.4489673208729841
ENSG00000024862,CCDC28A,5.623103184372732,5.352454839237654,0.2706483451350774,0.0012234199615043847,0.4489673208729841
ENSG00000149428,HYOU1,5.484191494062292,5.847988843001399,-0.36379734893910776,0.0013100476507166775,0.4500710514068551
ENSG00000134262,AP4B1,4.546260524072613,4.7426328067849335,-0.19637228271232043,0.0013100476507166775,0.4500710514068551
ENSG00000117118,SDHB,6.48894322242261,6.218785214133237,0.2701580082893731,0.0013100476507166775,0.4500710514068551
ENSG00000116062,MSH6,4.326876419121885,4.504732148189987,-0.177855729068102,0.0014018765240600489,0.4539131519947744
ENSG00000188613,NANOS1,0.8965906080387377,1.1759100042704425,-0.27931939623170476,0.0014018765240600489,0.4539131519947744
ENSG00000138674,SEC31A,6.01418617746143,6.249272743295243,-0.2350865658338126,0.0014991549962989682,0.4539131519947744
ENSG00000163399,ATP1A1,7.455528246083695,7.697204926234382,-0.24167668015068688,0.0014991549962989682,0.4539131519947744
ENSG00000178935,ZNF552,4.391857148577068,3.950192367274852,0.4416647813022161,0.0014991549962989682,0.4539131519947744
ENSG00000144036,EXOC6B,2.3060474789739698,2.559776976337085,-0.253729497363115,0.0016021563772120166,0.4539131519947744
ENSG00000143799,PARP1,6.2204552412772705,6.549184186218475,-0.3287289449412043,0.0016021563772120166,0.4539131519947744
ENSG00000146463,ZMYM4,4.260258085639468,4.488497869236729,-0.22823978359726116,0.0016021563772120166,0.4539131519947744
