,median_failure,median_cure,mannwhitney_p,rank_biserial_r
Neutrophil,0.35807026431318795,-0.11806871988129351,0.056491804301696744,-0.43545611015490526
T_cell,-0.06388833255888772,-0.036889372902548616,0.4685510610311229,0.17039586919104988
Monocyte,0.37476981073560983,0.12175512157818148,0.4594536559476606,-0.1738382099827882
B_cell,-0.13738101641756373,0.25851269407959604,0.1224750757944766,0.35628227194492257
NK_cell,0.08625743921157598,0.08261819558873142,0.3658666699388887,0.2117039586919105
NLR_score,0.36715255293696203,-0.001519906517250369,0.13017569123509568,-0.3493975903614457
